,0
1976,0.0
1977,1.0
1978,0.0
1979,2.0
1980,-18.0
1981,1.0
1982,-1.0
1983,1.0
1984,-1.0
1985,-1.0
1986,0.0
1987,-6.0
1988,-1.0
1989,-1.0
1990,1.0
1991,1.0
1992,0.0
1993,0.0
1994,0.0
1995,-13.0
1996,0.0
1997,-1.0
1998,1.0
1999,0.0
2000,0.0
2001,9.0
2002,-1.0
2003,2.0
2004,0.0
2005,0.0
2006,6.0
2007,-18.0
2008,3.0
2009,0.0
2010,-1.0
2011,0.0
2012,-3.0
2013,1.0
2014,-1.0
2015,-1.0
2016,12.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,-1.0
